fips_code,precip,min_temp,max_temp,mean_temp
17073,39.37,15.2,74.1,51.36666666666667
17107,42.2,20.5,75.6,53.833333333333336
17143,43.64,18.8,75.4,53.18333333333334
17163,37.67999999999999,25.1,78.1,56.84166666666667
19019,29.430000000000003,9.8,73.1,48.350000000000016
19047,28.34,12.6,74.0,50.541666666666664
20065,19.24,22.9,78.6,54.59166666666667
20113,30.120000000000005,24.8,80.3,57.225
27013,25.049999999999997,9.9,73.9,47.800000000000004
27111,22.35,5.4,72.6,44.449999999999996
